time,lat,lon,SPM,TUR,CHL,site
2022-07-15,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-16,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-17,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-18,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-19,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-20,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-21,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-22,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-24,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-26,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-27,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-28,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-29,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-30,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-31,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-01,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-02,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-03,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-04,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-05,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-06,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-07,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-08,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-09,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-10,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-11,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-12,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-13,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-14,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-15,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-16,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
